Text,Emotion,Temiz_Text
Haksızlık yapılınca.,Anger,hak yapmak
Yolda yürürken ölü bir kedinin kuyruğuna bastığımda korktum.,Fear,yol yürümek ölü kedi kuyruk basmak korkmak
iş yerinde fare görünce midem bulanıyor.,Disgust,iş yer fare görmek mide bulanmak
"RT @edemirci67: 2021 yılında 30 gün ve asgari ücret (3.577,50TL) karşılığı çalışan bir sigortalı için; 17256/27256=1.324,50 TL 07252=1,341,56 TL 17103/27103=1.341,56 TL 06111=733,39 TL 6486= 393,53 TL 05510=178,88 TL 14857= 733,39 TL 15921= 1.198,46 TL 05746= 456,13 TL tutarında teşvik verilir.",Neutral,yıl gün asgari ücret tl karşılık çalışmak sigorta tl tl tl tl tl tl tl tl tl tutar teşvik vermek
Babamın bana boş yere kızması beni öfkelendirdi.,Anger,baba boş yer kızmak öfke
Çalıştığım halde düşük not aldığımda.,Sadness,çalışmak hal düşük not aldığımda
"Köşk, Fatih Sultan Mehmet döneminden bu yana varlığını sürdüren ve Haliç kıyılarını süsleyen 18 adet Aynalıkavak veya Tersane Sarayı'ndan günümüze ulaşan son örnektir.",Neutral,köşk fatih sultan mehmet dönem yanmak varlık sürmek haliç kıyı süslemek adet aynalıkavak tersane sarayı ndan gün ulaşmak son örnek
Türkiye Cumhuriyeti’nin kuruluşundan sonra 3 Nisan 1924 tarihinde müze hâline getirilen Topkapı Sarayı Cumhuriyet’in ilk müzesi olma özelliğini taşır.,Neutral,türkiye cumhuriyet nin kuruluş sonra nisan tarih müze line getiri topkapı sarayı cumhuriyet in ilk müze olmak özellik taşımak
Çok sevdiğim bir arkadaşımın yok yere arkadaşlığımızı bitirmesi.,Sadness,çok sevmek arkadaş yok yer arkadaş bitirmek
6.45 te sabah kahvaltısı yapmaktan tiksiniyorum.,Disgust,te sabah kahvaltı yapmak tiksinmek
Ailemi kaybedeceğimi düşündüğüm zaman.,Fear,aile kaybetmek düşünmek zaman
Yeni bir şey almak.,Happy,yeni şey almak
Beklenmedik misafirler geldiğinde.,Surprise,beklemek misafir gelmek
Birisinin benim tabağımdan yemek yemesi.,Disgust,biri ben tabak yemek yemesi
Televizyonda izlediğim haberlere üzülürüm.,Sadness,televizyon izlemek haber üzülürüm
Sahip olduğum ve sevdiğim şeyleri kaybetmekten korkarım.,Fear,sahip olduğum sevmek şey kaybetmek korkmak
5. sınıf mezuniyet töreninde su almaya çıkıp kaybolduğumda korktum.,Fear,sınıf mezuniyet tören su almak çıkmak kaybolmak korkmak
Güzel bir hediye.,Happy,güzel hediye
